简名(城市/机场名),全名,IATA,ICAO,坐标
阿坝/红原,阿坝红原机场,AHJ,ZUHY,"32.5292000,102.3570000"
阿尔山/伊尔施,阿尔山伊尔施机场,YIE,ZHYC,"47.3100000,119.9110000"
阿克苏/红旗坡,阿克苏红旗坡机场,AKU,ZWAK,"41.2625000,80.2916667"
阿拉尔/塔里木,阿拉尔塔里木机场,ACF,ZWAL,"40.4293000, 81.2509000"
阿拉善右旗/巴丹吉林,阿拉善右旗巴丹吉林机场,RHT,ZBAR,"39.2133000,101.6440000"
阿拉善左旗/巴彦浩特,阿拉善左旗巴彦浩特机场,AXF,ZBAL,"38.8228600,105.6261600"
阿勒泰/雪都,阿勒泰雪都机场,AAT,ZWAT,"47.7503611,88.0844444"
阿里/昆莎,阿里昆莎机场,NGQ,ZUAL,"32.1142028,80.0443278"
阿里/普兰,阿里普兰机场,APJ,ZUPL,"30.3926000,81.1433000"
安康/富强,安康富强机场,AKA,ZLAK,"32.7080556,108.9311111"
安庆/天柱山,安庆天柱山机场,AQG,ZSAQ,"30.5822222,117.0502778"
安顺/黄果树,安顺黄果树机场,AVA,ZUAS,"26.2605556,105.8730556"
安阳/红旗渠,安阳红旗渠机场,HQQ,ZHQQ,"35.8708333,114.4619444"
鞍山/腾鳌,鞍山腾鳌机场,AOG,ZYAS,"41.1047222,122.8558333"
巴彦淖尔/天吉泰,巴彦淖尔天吉泰机场,RLK,ZBYZ,"40.9263889,107.7388889"
巴中/恩阳,巴中恩阳机场,BZX,ZUBZ,"30.7000000,106.6330000"
白城/长安,白城长安机场,DBC,ZYBA,"45.5052778,123.0191667"
白山/长白山,白山长白山机场,NBS,ZYBS,"42.0650000,127.6050000"
百色/巴马,百色巴马机场,AEB,ZGBS,"23.7194444,106.9591667"
包头/东河,包头东河机场,BAV,ZBOW,"40.5597222,109.9966667"
保山/云瑞,保山云瑞机场,BSD,ZPBS,"25.0533333,99.1683333"
北海/福成,北海福成机场,BHY,ZGBH,"21.5394444,109.2938889"
北京/大兴,北京大兴国际机场,PKX,ZBAD,"39.5119440,116.4105560"
北京/首都,北京首都国际机场,PEK,ZBAA,"40.0800000,116.5844444"
毕节/飞雄,毕节飞雄机场,BFJ,ZUBJ,"27.3002778,105.3013889"
博乐/阿拉山口,博乐阿拉山口机场,BPL,ZWBL,"44.8950000,82.2997222"
布尔津/喀纳斯,布尔津喀纳斯机场,KJI,ZWKN,"48.2211111,86.9980556"
沧源/佤山,沧源佤山机场,CWJ,ZPCW,"23.2765200,99.3703900"
昌都/邦达,昌都邦达机场,BPX,ZUBD,"30.5536111,97.1086111"
